[2019-10-01 19:49:49 $1620.0]	INFO	Server is reloading all workers now
[2019-10-01 19:49:52 *1630.1]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#1[pid=1630] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=1621] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=1622] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=1623] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=1624] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=1625] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=1626] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=1627] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=1628] exit timeout, forced kill
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_check_exit_status: worker#11[pid=1624] abnormal exit, status=0, signal=9
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_check_exit_status: worker#14[pid=1627] abnormal exit, status=0, signal=9
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_check_exit_status: worker#15[pid=1628] abnormal exit, status=0, signal=9
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_check_exit_status: worker#13[pid=1626] abnormal exit, status=0, signal=9
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_check_exit_status: worker#12[pid=1625] abnormal exit, status=0, signal=9
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_check_exit_status: worker#10[pid=1623] abnormal exit, status=0, signal=9
[2019-10-01 19:49:52 $1620.0]	WARNING	swManager_check_exit_status: worker#9[pid=1622] abnormal exit, status=0, signal=9
[2019-10-01 19:54:50 $1828.0]	INFO	Server is reloading all workers now
[2019-10-01 19:54:53 *1838.1]	WARNING	swWorker_try_to_exit (ERRNO 9012): worker exit timeout, forced to terminate
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#1[pid=1838] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#8[pid=1829] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#9[pid=1830] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#10[pid=1831] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#11[pid=1832] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#12[pid=1833] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#13[pid=1834] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#14[pid=1835] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_kill_timeout_process (ERRNO 9012): [Manager] Worker#15[pid=1836] exit timeout, forced kill
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_check_exit_status: worker#10[pid=1831] abnormal exit, status=0, signal=9
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_check_exit_status: worker#14[pid=1835] abnormal exit, status=0, signal=9
[2019-10-01 19:54:53 $1828.0]	WARNING	swManager_check_exit_status: worker#15[pid=1836] abnormal exit, status=0, signal=9
